ФИО;Группа;Период;Должность;Площадка;КЦ_Другое_отсутсвие;Запланированное время;Ready;Больничный;Adherence
Власов Фирс Анатольевич;Группа 17;9/1/22;Специалист;Пенза;0;172;111;61;0,95
Зайцев Варфоломей Евгеньевич;Группа 36;9/1/22;Специалист по удаленному голосовому обслуживанию;УГ;0;40;36;0;0,57
Петров Гордей Эдуардович;Группа 21;9/1/22;Специалист по обслуживанию ключевых клиентов;Пенза;0;150;137;0;0,78
Дмитриев Демьян Вячеславович;Группа 9;9/1/22;Младший специалист;Брянск;0;34;30,6;0;0,60
Трофимов Антонин Феликсович;Группа 5;9/1/22;Специалист по обслуживанию ключевых клиентов;Вологда;57;75;18;0;0,82
Григорьев Владимир Бедросович;Группа 22;9/1/22;Младший специалист;Пенза;0;42;37,8;0;0,92
Михеев Михаил Денисович;Группа 33;9/1/22;Специалист по обслуживанию ключевых клиентов;Чита;0;175;63;0;0,63
Мухин Лаврентий Игнатьевич;Группа 6;9/1/22;Младший специалист;Брянск;0;61;54,9;0;0,56
Зайцев Пафнутий Артемович;Группа 6;9/1/22;Младший специалист;Брянск;0;76;68,4;0;0,82
Пахомов Марк Станиславович;Группа 20;9/1/22;Младший специалист;Пенза;0;41;36,9;0;0,79
Гурьев Онисим Платонович;Группа 17;9/1/22;Младший специалист;Пенза;0;131;105;26;0,78
Романов Владлен Ярославович;Группа 5;9/1/22;Младший специалист;Вологда;0;44;39,6;0;0,96
Селиверстов Авдей Иванович;Группа 30;9/1/22;Специалист по обслуживанию ключевых клиентов;Чита;0;74;55;0;0,83
Суханов Донат Владимирович;Группа 5;9/1/22;Младший специалист;Вологда;0;125;112,5;12,5;0,87
Щукин Гавриил Степанович;Группа 27;9/1/22;Специалист;Кемерово;0;110;26;0;0,81
Сергеев Архипп Ильич;Группа 19;9/1/22;Специалист;Пенза;0;137;15;0;0,83
Сидоров Феликс Исаакович;Группа 39;9/1/22;Специалист по удаленному голосовому обслуживанию;УГ;0;99;84;15;0,74
Николаев Мелентий Вольфович;Группа 27;9/1/22;Специалист;Кемерово;0;141;126,9;0;0,51
Михеев Филипп Андреевич;Группа 16;9/1/22;Специалист по обслуживанию ключевых клиентов;Ростов;0;98;88,2;0;0,61
Капустин Николай Иосифович;Группа 7;9/1/22;Младший специалист;Брянск;0;121;98;0;0,83
Артемьев Ростислав Антонович;Группа 9;9/1/22;Специалист;Брянск;0;34;30,6;0;0,74
Евдокимов Варлам Денисович;Группа 8;9/1/22;Специалист по обслуживанию ключевых клиентов;Брянск;0;123;12;0;0,71
Максимов Руслан Владиславович;Группа 5;9/1/22;Специалист по обслуживанию ключевых клиентов;Вологда;63;153;90;0;0,73
Титов Севастьян Борисович;Группа 29;9/1/22;Младший специалист;Кемерово;0;45;40,5;0;0,93
Сафонов Иннокентий Артемович;Группа 27;9/1/22;Специалист по обслуживанию ключевых клиентов;Кемерово;0;67;60,3;0;0,59
Цветков Герман Кириллович;Группа 30;9/1/22;Специалист;Чита;0;99;89,1;0;0,59
Громов Порфирий Северинович;Группа 13;9/1/22;Специалист;Ростов;0;137;126;11;0,80
Поляков Валерий Юрьевич;Группа 12;9/1/22;Специалист по обслуживанию ключевых клиентов;Ростов;0;146;70;0;0,99
Жуков Демьян Львович;Группа 9;9/1/22;Специалист;Брянск;0;79;71,1;0;0,98
Королёв Ждан Олегович;Группа 38;9/1/22;Специалист по удаленному голосовому обслуживанию;УГ;0;125;17;0;0,60
Селиверстов Владлен Константинович;Группа 38;9/1/22;Специалист по удаленному голосовому обслуживанию;УГ;0;67;60,3;0;0,81
Хохлов Артём Владимирович;Группа 28;9/1/22;Специалист;Кемерово;0;140;88;43;0,67
Журавлёв Анатолий Григорьевич;Группа 29;9/1/22;Специалист;Кемерово;0;161;12;0;0,78
Воронцов Разумник Николаевич;Группа 12;9/1/22;Специалист;Ростов;0;46;41,4;0;0,98
Логинов Ираклий Степанович;Группа 17;9/1/22;Младший специалист;Пенза;0;156;155;0;0,89
Пестов Виктор Геннадиевич;Группа 16;9/1/22;Младший специалист;Ростов;0;99;89,1;0;0,59
Лихачёв Ефрем Аркадьевич;Группа 14;9/1/22;Специалист;Ростов;0;163;142;0;0,67
Кулаков Савелий Антонович;Группа 38;9/1/22;Специалист по удаленному голосовому обслуживанию;УГ;0;84;75,6;0;0,96
Беляков Влас Юрьевич;Группа 8;9/1/22;Специалист по обслуживанию ключевых клиентов;Брянск;41;133;39;53;0,56
Лапин Куприян Геннадиевич;Группа 5;9/1/22;Младший специалист;Вологда;0;149;41;0;0,60
Кудряшов Фёдор Яковлевич;Группа 16;9/1/22;Специалист по обслуживанию ключевых клиентов;Ростов;65;155;90;0;0,96
Горбунов Виктор Константинович;Группа 20;9/1/22;Специалист;Пенза;0;88;79,2;0;0,85
Гришин Евграф Валерьевич;Группа 16;9/1/22;Специалист по обслуживанию ключевых клиентов;Ростов;0;118;91;27;0,75
Терентьев Александр Алексеевич;Группа 25;9/1/22;Младший специалист;Кемерово;0;139;125,1;13,9;0,65
Никитин Богдан Эдуардович;Группа 25;9/1/22;Специалист;Кемерово;0;120;118;0;0,86
Яковлев Аристарх Валерьевич;Группа 31;9/1/22;Младший специалист;Чита;0;119;107,1;11,9;0,75
Петров Семён Кириллович;Группа 2;9/1/22;Специалист по обслуживанию ключевых клиентов;Вологда;0;159;140;0;0,63
Данилов Пахомий Ярославович;Группа 13;9/1/22;Младший специалист;Ростов;0;151;72;59;0,86
Юдин Владимир Геннадиевич;Группа 9;9/1/22;Специалист по обслуживанию ключевых клиентов;Брянск;62;171;43;66;0,76
Зайцев Ефим Геннадиевич;Группа 36;9/1/22;Специалист по удаленному голосовому обслуживанию;УГ;0;52;46,8;0;0,97
Доронин Влас Тарасович;Группа 12;9/1/22;Младший специалист;Ростов;0;116;63;53;0,69
Мамонтов Вячеслав Павлович;Группа 10;9/1/22;Специалист;Брянск;0;121;59;62;0,76
Якушев Валерьян Филиппович;Группа 37;9/1/22;Специалист по удаленному голосовому обслуживанию;УГ;0;37;33,3;0;0,58
Попов Варлам Игнатьевич;Группа 37;9/1/22;Специалист по удаленному голосовому обслуживанию;УГ;0;106;95,4;0;0,59
Пахомов Агафон Ильич;Группа 33;9/1/22;Младший специалист;Чита;0;90;25;64;0,98
Ситников Фома Борисович;Группа 9;9/1/22;Специалист;Брянск;0;127;86;41;0,68
Федотов Никодим Робертович;Группа 16;9/1/22;Специалист по обслуживанию ключевых клиентов;Ростов;0;42;37,8;0;0,89
Соловьёв Григорий Витальевич;Группа 16;9/1/22;Специалист;Ростов;43;100;57;0;0,84
Волков Валерьян Исаакович;Группа 22;9/1/22;Специалист по обслуживанию ключевых клиентов;Пенза;57;184;127;0;0,59
Шарапов Григорий Иванович;Группа 4;9/1/22;Младший специалист;Вологда;0;141;42;0;0,98
Евдокимов Агапит Анатольевич;Группа 9;9/1/22;Младший специалист;Брянск;0;98;88,2;0;0,69
Блинов Германн Михайлович;Группа 10;9/1/22;Младший специалист;Брянск;32;176;144;0;0,69
Филиппов Афанасий Романович;Группа 12;9/1/22;Специалист;Ростов;0;82;73,8;0;0,79
Орлов Пётр Исаакович;Группа 8;9/1/22;Специалист;Брянск;0;113;107;0;0,50
Степанов Демид Исаакович;Группа 31;9/1/22;Специалист;Чита;0;48;43,2;0;0,92
Крылов Демид Артемович;Группа 36;9/1/22;Специалист по удаленному голосовому обслуживанию;УГ;59;106;47;0;0,94
Лазарев Фаддей Анатольевич;Группа 38;9/1/22;Специалист по удаленному голосовому обслуживанию;УГ;0;39;35,1;0;0,75
Шашков Альберт Ефимович;Группа 18;9/1/22;Специалист по обслуживанию ключевых клиентов;Пенза;0;46;41,4;0;0,92
Юдин Емельян Викторович;Группа 9;9/1/22;Младший специалист;Брянск;0;118;106,2;0;0,93
Третьяков Филипп Кириллович;Группа 22;9/1/22;Специалист по обслуживанию ключевых клиентов;Пенза;0;112;58;54;0,74
Гущин Кир Игнатьевич;Группа 3;9/1/22;Специалист;Вологда;68;156;88;0;0,83
Баранов Авдей Владимирович;Группа 39;9/1/22;Специалист по удаленному голосовому обслуживанию;УГ;0;97;80;0;0,60
Матвеев Олег Платонович;Группа 1;9/1/22;Специалист по обслуживанию ключевых клиентов;Вологда;0;124;111,6;0;0,70
Наумов Марк Евгеньевич;Группа 3;9/1/22;Младший специалист;Вологда;0;31;27,9;0;0,83
Носов Всеволод Алексеевич;Группа 15;9/1/22;Специалист по обслуживанию ключевых клиентов;Ростов;0;103;92,7;0;0,51
Ларионов Кир Павлович;Группа 18;9/1/22;Специалист по обслуживанию ключевых клиентов;Пенза;51;130;14;65;0,53
Сергеев Авдей Денисович;Группа 16;9/1/22;Младший специалист;Ростов;0;125;102;0;0,94
Сорокин Трофим Яковлевич;Группа 23;9/1/22;Специалист по обслуживанию ключевых клиентов;Пенза;42;138;45;51;0,55
Осипов Степан Робертович;Группа 14;9/1/22;Специалист по обслуживанию ключевых клиентов;Ростов;0;94;84,6;0;0,65
Носов Фока Феликсович;Группа 19;9/1/22;Специалист по обслуживанию ключевых клиентов;Пенза;0;106;91;15;0,61
Кириллов Назар Петрович;Группа 16;9/1/22;Специалист;Ростов;0;82;25;48;0,80
Волков Федот Львович;Группа 11;9/1/22;Специалист по обслуживанию ключевых клиентов;Брянск;0;107;96,3;0;0,79
Кулаков Сергей Денисович;Группа 34;9/1/22;Специалист;Чита;0;138;133;0;0,58
Русаков Федот Феликсович;Группа 39;9/1/22;Специалист по удаленному голосовому обслуживанию;УГ;0;180;157;0;0,98
Уваров Венедикт Платонович;Группа 25;9/1/22;Специалист;Кемерово;0;98;81;0;0,96
Горбачёв Виталий Вольфович;Группа 33;9/1/22;Младший специалист;Чита;0;156;54;0;0,73
Кулагин Леонид Викторович;Группа 9;9/1/22;Специалист по обслуживанию ключевых клиентов;Брянск;0;74;66,6;0;0,90
Шестаков Исидор Юрьевич;Группа 2;9/1/22;Младший специалист;Вологда;0;135;65;43;0,65
Самсонов Филимон Петрович;Группа 18;9/1/22;Специалист по обслуживанию ключевых клиентов;Пенза;0;47;42,3;0;0,59
Кузьмин Лука Станиславович;Группа 15;9/1/22;Специалист;Ростов;50;157;41;66;0,62
Мартынов Вавила Яковлевич;Группа 15;9/1/22;Младший специалист;Ростов;0;178;163;0;0,94
Крюков Созон Иосифович;Группа 23;9/1/22;Специалист;Пенза;0;143;131;0;0,55
Мартынов Галактион Геннадиевич;Группа 17;9/1/22;Специалист по обслуживанию ключевых клиентов;Пенза;0;163;161;0;0,73
Елисеев Илья Артемович;Группа 39;9/1/22;Специалист по удаленному голосовому обслуживанию;УГ;0;102;91,8;10,2;0,92
Бобров Авксентий Николаевич;Группа 2;9/1/22;Специалист по обслуживанию ключевых клиентов;Вологда;0;86;81;0;0,94
Калашников Донат Геннадиевич;Группа 36;9/1/22;Специалист по удаленному голосовому обслуживанию;УГ;0;150;135;0;0,76
Кудрявцев Геннадий Витальевич;Группа 8;9/1/22;Младший специалист;Брянск;0;53;47,7;0;0,84
Борисов Афанасий Яковлевич;Группа 16;9/1/22;Специалист по обслуживанию ключевых клиентов;Ростов;0;87;65;0;0,88
Бобылёв Прокопий Викторович;Группа 25;9/1/22;Специалист;Кемерово;0;50;45;0;0,95
Жданов Никандр Владиславович;Группа 39;9/1/22;Специалист по удаленному голосовому обслуживанию;УГ;52;138;86;0;0,75
Кононов Кузьма Евгеньевич;Группа 29;9/1/22;Специалист по обслуживанию ключевых клиентов;Кемерово;0;123;110,7;12,3;0,62
Маслов Аристарх Дмитриевич;Группа 28;9/1/22;Специалист;Кемерово;0;42;37,8;0;0,97
Комиссаров Добрыня Матвеевич;Группа 30;9/1/22;Специалист;Чита;0;141;135;0;0,85
Панфилов Сергей Георгиевич;Группа 31;9/1/22;Специалист по обслуживанию ключевых клиентов;Чита;0;31;27,9;0;0,87
Третьяков Родослав Иосифович;Группа 22;9/1/22;Младший специалист;Пенза;0;136;30;0;0,53
Филиппов Анатолий Эдуардович;Группа 1;9/1/22;Специалист по обслуживанию ключевых клиентов;Вологда;0;39;35,1;0;0,62
Вишняков Ростислав Филиппович;Группа 7;9/1/22;Младший специалист;Брянск;0;46;20;26;0,88
Чернов Савелий Ильич;Группа 15;9/1/22;Специалист по обслуживанию ключевых клиентов;Ростов;0;75;67,5;0;0,75
Королёв Денис Сергеевич;Группа 25;9/1/22;Специалист;Кемерово;0;32;28,8;0;0,84
Буров Егор Северинович;Группа 15;9/1/22;Младший специалист;Ростов;0;59;53,1;0;0,75
Герасимов Варлам Ильич;Группа 27;9/1/22;Специалист;Кемерово;0;60;54;0;0,93
Макаров Мирослав Константинович;Группа 15;9/1/22;Специалист;Ростов;44;155;111;0;0,65
Александров Тарас Леонидович;Группа 33;9/1/22;Младший специалист;Чита;44;102;58;0;0,90
Лаврентьев Евгений Егорович;Группа 38;9/1/22;Специалист по удаленному голосовому обслуживанию;УГ;0;147;49;0;0,55
Лебедев Демьян Егорович;Группа 17;9/1/22;Специалист;Пенза;0;40;36;0;0,86
Харитонов Никодим Вячеславович;Группа 30;9/1/22;Специалист по обслуживанию ключевых клиентов;Чита;0;147;54;0;0,92
Муравьёв Спиридон Константинович;Группа 9;9/1/22;Специалист;Брянск;0;101;75;26;0,66
Киселёв Богдан Леонидович;Группа 35;9/1/22;Специалист по удаленному голосовому обслуживанию;УГ;0;65;58,5;0;0,50
Прохоров Мстислав Викторович;Группа 12;9/1/22;Специалист по обслуживанию ключевых клиентов;Ростов;62;176;67;47;0,87
Комаров Макар Васильевич;Группа 5;9/1/22;Специалист;Вологда;0;55;49;0;0,96
Белоусов Логгин Дмитриевич;Группа 31;9/1/22;Младший специалист;Чита;0;153;15;0;0,68
Беспалов Демид Исаакович;Группа 38;9/1/22;Специалист по удаленному голосовому обслуживанию;УГ;0;137;118;0;0,64
Орлов Потап Геннадиевич;Группа 10;9/1/22;Специалист;Брянск;0;156;18;0;0,71
Осипов Владислав Андреевич;Группа 16;9/1/22;Специалист по обслуживанию ключевых клиентов;Ростов;0;89;23;49;0,81
Тетерин Влас Эдуардович;Группа 13;9/1/22;Младший специалист;Ростов;0;103;92,7;0;1,00
Дементьев Серафим Платонович;Группа 35;9/1/22;Специалист по удаленному голосовому обслуживанию;УГ;0;50;45;0;0,74
Попов Филипп Ярославович;Группа 20;9/1/22;Специалист;Пенза;0;159;75;0;0,54
Кузнецов Альвиан Евгеньевич;Группа 1;9/1/22;Младший специалист;Вологда;34;90;56;0;0,66
Куликов Дорофей Григорьевич;Группа 18;9/1/22;Специалист;Пенза;60;175;115;0;0,88
Костин Владислав Валерьевич;Группа 35;9/1/22;Специалист по удаленному голосовому обслуживанию;УГ;0;115;30;0;0,64
Мишин Артемий Матвеевич;Группа 8;9/1/22;Специалист;Брянск;0;79;71,1;0;1,00
Воронцов Германн Андреевич;Группа 36;9/1/22;Специалист по удаленному голосовому обслуживанию;УГ;0;170;24;0;0,94
Петухов Григорий Феликсович;Группа 26;9/1/22;Младший специалист;Кемерово;66;137;71;0;0,73
Фёдоров Арсений Игоревич;Группа 9;9/1/22;Специалист по обслуживанию ключевых клиентов;Брянск;0;157;72;0;0,74
Зайцев Конон Михайлович;Группа 11;9/1/22;Специалист;Брянск;61;79;18;0;0,98
Ершов Пафнутий Григорьевич;Группа 10;9/1/22;Младший специалист;Брянск;0;118;76;42;0,69
Сысоев Еремей Тарасович;Группа 37;9/1/22;Специалист по удаленному голосовому обслуживанию;УГ;0;106;95,4;10,6;0,94
Евдокимов Христофор Иванович;Группа 34;9/1/22;Специалист;Чита;0;67;63;0;0,91
Фадеев Виссарион Дмитриевич;Группа 37;9/1/22;Специалист по удаленному голосовому обслуживанию;УГ;0;178;41;0;0,73
Калинин Влас Владимирович;Группа 17;9/1/22;Младший специалист;Пенза;0;146;119;0;0,54
Федосеев Мина Феликсович;Группа 9;9/1/22;Специалист по обслуживанию ключевых клиентов;Брянск;64;88;24;0;0,76
Белоусов Акиндин Олегович;Группа 31;9/1/22;Младший специалист;Чита;65;92;27;0;0,55
Козлов Пров Платонович;Группа 32;9/1/22;Специалист по обслуживанию ключевых клиентов;Чита;57;92;35;0;0,82
Муравьёв Филат Богданович;Группа 12;9/1/22;Специалист по обслуживанию ключевых клиентов;Ростов;0;36;32,4;0;0,98
Бирюков Александр Семенович;Группа 3;9/1/22;Специалист;Вологда;0;70;63;0;0,96
Архипов Ким Феликсович;Группа 39;9/1/22;Специалист по удаленному голосовому обслуживанию;УГ;0;82;73,8;0;0,80
Уваров Дмитрий Вольфович;Группа 36;9/1/22;Специалист по удаленному голосовому обслуживанию;УГ;0;71;56;0;0,91
Лобанов Антонин Тарасович;Группа 16;9/1/22;Специалист по обслуживанию ключевых клиентов;Ростов;50;148;35;63;0,61
Колобов Никифор Григорьевич;Группа 16;9/1/22;Младший специалист;Ростов;0;71;63,9;0;0,64
Иванов Корнилий Артемович;Группа 28;9/1/22;Специалист;Кемерово;0;73;65,7;0;0,56
Алексеев Георгий Данилович;Группа 6;9/1/22;Специалист;Брянск;0;40;36;0;0,80
Белозёров Семён Дмитриевич;Группа 31;9/1/22;Младший специалист;Чита;64;161;97;0;0,96
Рябов Онисим Валентинович;Группа 6;9/1/22;Специалист по обслуживанию ключевых клиентов;Брянск;0;33;29,7;0;0,61
Иванов Владимир Николаевич;Группа 36;9/1/22;Специалист по удаленному голосовому обслуживанию;УГ;0;55;49,5;0;0,75
Копылов Роман Евгеньевич;Группа 19;9/1/22;Специалист по обслуживанию ключевых клиентов;Пенза;0;84;28;55;0,53
Николаев Пафнутий Анатольевич;Группа 22;9/1/22;Младший специалист;Пенза;0;72;64,8;0;0,89
Шестаков Всеволод Михайлович;Группа 36;9/1/22;Специалист по удаленному голосовому обслуживанию;УГ;0;31;27,9;0;0,64
Мясников Урбан Игнатьевич;Группа 5;9/1/22;Младший специалист;Вологда;0;67;60,3;0;0,61
Якушев Кирилл Владимирович;Группа 39;9/1/22;Специалист по удаленному голосовому обслуживанию;УГ;0;115;49;60;0,82
Чернов Севастьян Дмитриевич;Группа 26;9/1/22;Младший специалист;Кемерово;0;142;127,8;0;0,77
Сафонов Германн Филиппович;Группа 35;9/1/22;Специалист по удаленному голосовому обслуживанию;УГ;0;94;84,6;0;0,89
Афанасьев Марк Федорович;Группа 18;9/1/22;Специалист по обслуживанию ключевых клиентов;Пенза;0;83;74,7;0;0,55
Кулаков Антон Матвеевич;Группа 3;9/1/22;Специалист по обслуживанию ключевых клиентов;Вологда;0;43;38,7;0;0,59
Елисеев Лукьян Иосифович;Группа 31;9/1/22;Младший специалист;Чита;0;141;14;0;0,62
Галкин Анфим Борисович;Группа 28;9/1/22;Специалист по обслуживанию ключевых клиентов;Кемерово;0;111;108;0;0,83
Горбачёв Никифор Максимович;Группа 31;9/1/22;Специалист по обслуживанию ключевых клиентов;Чита;0;147;121;0;0,90
Назаров Спиридон Валерьевич;Группа 38;9/1/22;Специалист по удаленному голосовому обслуживанию;УГ;0;145;132;0;0,57
Меркушев Евдоким Романович;Группа 10;9/1/22;Специалист по обслуживанию ключевых клиентов;Брянск;0;176;150;0;0,90
Королёв Аркадий Олегович;Группа 9;9/1/22;Специалист;Брянск;0;54;48,6;0;0,73
Герасимов Герман Денисович;Группа 16;9/1/22;Специалист;Ростов;0;55;49,5;0;0,69
Колесников Конон Андреевич;Группа 20;9/1/22;Специалист по обслуживанию ключевых клиентов;Пенза;0;185;70;0;0,66
Тимофеев Христофор Богданович;Группа 29;9/1/22;Специалист по обслуживанию ключевых клиентов;Кемерово;0;43;38,7;0;0,61
Жданов Никита Егорович;Группа 36;9/1/22;Специалист по удаленному голосовому обслуживанию;УГ;0;146;131,4;0;0,73
Семёнов Герман Игоревич;Группа 8;9/1/22;Специалист по обслуживанию ключевых клиентов;Брянск;0;171;44;0;0,84
Гусев Тимофей Юрьевич;Группа 4;9/1/22;Специалист по обслуживанию ключевых клиентов;Вологда;0;181;96;57;0,83
Кузьмин Савва Николаевич;Группа 17;9/1/22;Младший специалист;Пенза;42;181;77;62;0,70
Сорокин Сильвестр Федорович;Группа 36;9/1/22;Специалист по удаленному голосовому обслуживанию;УГ;36;167;88;43;0,92
Крюков Валерий Олегович;Группа 13;9/1/22;Специалист;Ростов;0;153;69;0;0,73
Захаров Савва Николаевич;Группа 26;9/1/22;Младший специалист;Кемерово;0;32;17;15;0,87
Дьячков Родион Федорович;Группа 19;9/1/22;Младший специалист;Пенза;0;61;32;29;0,82
Тарасов Семён Платонович;Группа 7;9/1/22;Младший специалист;Брянск;0;55;49,5;0;0,83
Самойлов Иуда Олегович;Группа 7;9/1/22;Специалист;Брянск;0;106;12;0;0,92
Капустин Олег Витальевич;Группа 6;9/1/22;Младший специалист;Брянск;31;77;46;0;0,99
Евсеев Гордей Дмитриевич;Группа 5;9/1/22;Специалист;Вологда;0;103;22;0;0,79
Терентьев Тимур Эдуардович;Группа 24;9/1/22;Специалист;Кемерово;0;32;28,8;0;0,53
Копылов Василий Кириллович;Группа 15;9/1/22;Специалист;Ростов;0;41;36,9;0;0,70
Гурьев Максим Дмитриевич;Группа 19;9/1/22;Младший специалист;Пенза;0;164;131;33;0,99
Захаров Панкратий Исаакович;Группа 15;9/1/22;Младший специалист;Ростов;0;95;85,5;0;0,95
Михайлов Иакинф Владимирович;Группа 13;9/1/22;Специалист по обслуживанию ключевых клиентов;Ростов;0;141;65;48;0,53
Алексеев Валерьян Платонович;Группа 20;9/1/22;Специалист по обслуживанию ключевых клиентов;Пенза;0;142;120;22;0,71
Симонов Руслан Кириллович;Группа 27;9/1/22;Специалист;Кемерово;0;47;42,3;0;0,94
Бирюков Макар Андреевич;Группа 23;9/1/22;Специалист;Пенза;0;76;68,4;0;0,92
Калашников Германн Валентинович;Группа 2;9/1/22;Специалист;Вологда;0;165;55;0;0,67
Григорьев Порфирий Федорович;Группа 1;9/1/22;Специалист;Вологда;0;35;31,5;0;0,58
Никифоров Анфим Егорович;Группа 35;9/1/22;Специалист по удаленному голосовому обслуживанию;УГ;0;126;113,4;0;0,64
Горшков Антонин Дмитриевич;Группа 30;9/1/22;Специалист;Чита;0;157;139;0;0,70
Блинов Марк Семенович;Группа 12;9/1/22;Младший специалист;Ростов;0;32;28,8;0;0,59
Назаров Филимон Платонович;Группа 6;9/1/22;Специалист по обслуживанию ключевых клиентов;Брянск;0;145;17;0;0,89
Орлов Онисим Львович;Группа 16;9/1/22;Специалист;Ростов;0;149;14;60;0,64
Соловьёв Демьян Георгиевич;Группа 24;9/1/22;Специалист по обслуживанию ключевых клиентов;Кемерово;0;57;51,3;0;0,97
Ларионов Спиридон Бедросович;Группа 1;9/1/22;Специалист по обслуживанию ключевых клиентов;Вологда;0;61;54,9;0;0,59
Одинцов Фёдор Аркадьевич;Группа 33;9/1/22;Специалист;Чита;0;35;31,5;0;0,69
Давыдов Логгин Робертович;Группа 3;9/1/22;Специалист;Вологда;0;102;91,8;0;0,93
Зайцев Филипп Владиславович;Группа 11;9/1/22;Специалист по обслуживанию ключевых клиентов;Брянск;0;36;32,4;0;0,90
Сафонов Артемий Иванович;Группа 24;9/1/22;Специалист по обслуживанию ключевых клиентов;Кемерово;0;89;80,1;0;0,91
Шилов Георгий Вольфович;Группа 14;9/1/22;Специалист;Ростов;0;156;128;0;0,71
Орлов Прохор Антонович;Группа 39;9/1/22;Специалист по удаленному голосовому обслуживанию;УГ;0;30;27;0;0,50
Шубин Исидор Николаевич;Группа 24;9/1/22;Специалист;Кемерово;0;164;92;0;0,64
Цветков Еремей Михайлович;Группа 16;9/1/22;Специалист;Ростов;0;91;68;0;0,56
Тетерин Игорь Федорович;Группа 5;9/1/22;Специалист по обслуживанию ключевых клиентов;Вологда;0;134;40;0;0,66
Дроздов Емельян Семенович;Группа 30;9/1/22;Специалист;Чита;0;163;108;55;0,61
Кулагин Аристарх Евгеньевич;Группа 16;9/1/22;Специалист;Ростов;0;70;63;0;0,86
Богданов Федот Тимофеевич;Группа 38;9/1/22;Специалист по удаленному голосовому обслуживанию;УГ;0;67;60,3;0;0,67
Афанасьев Софрон Владимирович;Группа 14;9/1/22;Специалист;Ростов;0;167;63;0;0,90
Копылов Ираклий Филиппович;Группа 12;9/1/22;Младший специалист;Ростов;0;109;98,1;0;0,78
Кудрявцев Урбан Данилович;Группа 26;9/1/22;Младший специалист;Кемерово;67;102;35;0;0,94
Тихонов Варлам Иванович;Группа 33;9/1/22;Специалист по обслуживанию ключевых клиентов;Чита;0;125;112,5;0;0,66
Титов Денис Евгеньевич;Группа 38;9/1/22;Специалист по удаленному голосовому обслуживанию;УГ;0;178;92;0;0,70
Русаков Герман Олегович;Группа 19;9/1/22;Специалист;Пенза;0;78;70,2;0;0,77
Шубин Герман Григорьевич;Группа 13;9/1/22;Младший специалист;Ростов;0;108;97,2;10,8;0,80
Комаров Фома Платонович;Группа 35;9/1/22;Специалист по удаленному голосовому обслуживанию;УГ;50;181;131;0;0,91
Гришин Кондрат Ярославович;Группа 7;9/1/22;Младший специалист;Брянск;0;80;72;0;0,67
Комаров Аникита Львович;Группа 5;9/1/22;Специалист по обслуживанию ключевых клиентов;Вологда;0;47;42,3;0;0,68
Герасимов Ким Эдуардович;Группа 11;9/1/22;Специалист по обслуживанию ключевых клиентов;Брянск;0;175;24;42;0,78
Киселёв Денис Исаакович;Группа 16;9/1/22;Младший специалист;Ростов;0;44;39,6;0;0,59
Горбунов Лаврентий Михайлович;Группа 20;9/1/22;Младший специалист;Пенза;0;91;88;0;0,66
Воронцов Евдоким Игоревич;Группа 34;9/1/22;Специалист по обслуживанию ключевых клиентов;Чита;0;78;70,2;0;0,79
Зуев Порфирий Вольфович;Группа 39;9/1/22;Специалист по удаленному голосовому обслуживанию;УГ;0;166;74;0;0,62
Котов Артемий Сергеевич;Группа 30;9/1/22;Младший специалист;Чита;0;97;87,3;0;0,50
Зиновьев Марк Васильевич;Группа 10;9/1/22;Младший специалист;Брянск;0;134;38;0;0,99
Кудрявцев Лаврентий Борисович;Группа 15;9/1/22;Специалист по обслуживанию ключевых клиентов;Ростов;0;84;75,6;0;0,65
Жуков Варсонофий Андреевич;Группа 2;9/1/22;Специалист по обслуживанию ключевых клиентов;Вологда;0;97;87,3;0;0,67
Мухин Куприян Платонович;Группа 16;9/1/22;Специалист;Ростов;0;40;36;0;0,89
Рыбаков Евгений Дмитриевич;Группа 18;9/1/22;Специалист по обслуживанию ключевых клиентов;Пенза;0;138;135;0;0,96
Бобылёв Афанасий Кириллович;Группа 36;9/1/22;Специалист по удаленному голосовому обслуживанию;УГ;0;118;106,2;11,8;0,97
Карпов Влас Семенович;Группа 25;9/1/22;Специалист;Кемерово;0;68;61,2;0;0,96
Кабанов Фёдор Владимирович;Группа 25;9/1/22;Специалист по обслуживанию ключевых клиентов;Кемерово;0;176;114;62;0,99
Миронов Поликарп Максимович;Группа 37;9/1/22;Специалист по удаленному голосовому обслуживанию;УГ;0;80;72;0;0,61
Дроздов Пантелеймон Вольфович;Группа 28;9/1/22;Специалист по обслуживанию ключевых клиентов;Кемерово;0;41;36,9;0;0,87
Калинин Тит Геннадиевич;Группа 35;9/1/22;Специалист по удаленному голосовому обслуживанию;УГ;0;127;122;0;0,93
Федотов Урбан Павлович;Группа 24;9/1/22;Младший специалист;Кемерово;0;108;80;0;0,90
Галкин Варлам Михайлович;Группа 39;9/1/22;Специалист по удаленному голосовому обслуживанию;УГ;0;147;13;63;0,66
Лаврентьев Антонин Егорович;Группа 15;9/1/22;Специалист;Ростов;0;124;53;0;0,81
Ларионов Павел Олегович;Группа 15;9/1/22;Специалист по обслуживанию ключевых клиентов;Ростов;40;125;40;45;0,60
Агафонов Агафон Феликсович;Группа 4;9/1/22;Младший специалист;Вологда;0;157;42;0;0,94
